# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.050000000    6.731609370    6.735988542    6.901618901
    0.060000000    6.731088191    6.735462847    6.901082328
    0.070000000    6.730499631    6.734869195    6.900476376
    0.080000000    6.729847802    6.734211734    6.899805275
    0.090000000    6.729135536    6.733493323    6.899071937
    0.100000000    6.728364799    6.732715949    6.898278384
    0.110000000    6.727536982    6.731881017    6.897426044
    0.120000000    6.726653091    6.730989544    6.896515949
    0.130000000    6.725713880    6.730042294    6.895548872
    0.140000000    6.724719932    6.729039858    6.894525408
    0.150000000    6.723671713    6.727982708    6.893446034
    0.160000000    6.722569610    6.726871241    6.892311144
    0.170000000    6.721413960    6.725705797    6.891121079
    0.180000000    6.720205057    6.724486678    6.889876140
    0.190000000    6.718943176    6.723214164    6.888576601
    0.200000000    6.717628570    6.721888515    6.887222720
    0.210000000    6.716261483    6.720509981    6.885814743
    0.220000000    6.714842153    6.719078805    6.884352907
    0.230000000    6.713370811    6.717595226    6.882837449
    0.240000000    6.711847690    6.716059482    6.881268598
    0.250000000    6.710273021    6.714471811    6.879646588
    0.260000000    6.708647036    6.712832450    6.877971652
    0.270000000    6.706969968    6.711141641    6.876244025
    0.280000000    6.705242057    6.709399629    6.874463944
    0.290000000    6.703463541    6.707606660    6.872631651
    0.300000000    6.701634666    6.705762985    6.870747390
    0.310000000    6.699755678    6.703868860    6.868811410
    0.320000000    6.697826830    6.701924543    6.866823962
    0.330000000    6.695848379    6.699930297    6.864785305
    0.340000000    6.693820583    6.697886390    6.862695697
    0.350000000    6.691743709    6.695793095    6.860555406
    0.360000000    6.689618024    6.693650687    6.858364699
    0.370000000    6.687443803    6.691459447    6.856123851
    0.380000000    6.685221322    6.689219660    6.853833141
    0.390000000    6.682950863    6.686931615    6.851492849
    0.400000000    6.680632712    6.684595606    6.849103264
    0.410000000    6.678267158    6.682211930    6.846664674
    0.420000000    6.675854496    6.679780889    6.844177375
    0.430000000    6.673395023    6.677302787    6.841641666
    0.440000000    6.670889040    6.674777934    6.839057848
    0.450000000    6.668336852    6.672206643    6.836426227
    0.460000000    6.665738768    6.669589230    6.833747114
    0.470000000    6.663095099    6.666926015    6.831020821
    0.480000000    6.660406162    6.664217322    6.828247665
    0.490000000    6.657672275    6.661463476    6.825427966
    0.500000000    6.654893760    6.658664806    6.822562046
    0.510000000    6.652070941    6.655821647    6.819650233
    0.520000000    6.649204146    6.652934332    6.816692855
    0.530000000    6.646293705    6.650003200    6.813690243
    0.540000000    6.643339952    6.647028592    6.810642734
    0.550000000    6.640343221    6.644010851    6.807550663
    0.560000000    6.637303852    6.640950322    6.804414372
    0.570000000    6.634222183    6.637847353    6.801234201
    0.580000000    6.631098559    6.634702294    6.798010496
    0.590000000    6.627933322    6.631515497    6.794743602
    0.600000000    6.624726819    6.628287316    6.791433870
    0.610000000    6.621479399    6.625018106    6.788081648
    0.620000000    6.618191412    6.621708223    6.784687289
    0.630000000    6.614863209    6.618358028    6.781251148
    0.640000000    6.611495143    6.614967880    6.777773580
    0.650000000    6.608087568    6.611538140    6.774254942
    0.660000000    6.604640840    6.608069171    6.770695592
    0.670000000    6.601155316    6.604561335    6.767095889
    0.680000000    6.597631353    6.601014999    6.763456196
    0.690000000    6.594069310    6.597430526    6.759776872
    0.700000000    6.590469547    6.593808283    6.756058282
    0.710000000    6.586832424    6.590148636    6.752300788
    0.720000000    6.583158301    6.586451954    6.748504755
    0.730000000    6.579447540    6.582718602    6.744670547
    0.740000000    6.575700502    6.578948949    6.740798531
    0.750000000    6.571917550    6.575143363    6.736889071
    0.760000000    6.568099046    6.571302211    6.732942533
    0.770000000    6.564245352    6.567425863    6.728959285
    0.780000000    6.560356830    6.563514685    6.724939692
    0.790000000    6.556433843    6.559569047    6.720884121
    0.800000000    6.552476753    6.555589315    6.716792939
    0.810000000    6.548485922    6.551575856    6.712666511
    0.820000000    6.544461710    6.547529037    6.708505203
    0.830000000    6.540404480    6.543449225    6.704309382
    0.840000000    6.536314593    6.539336784    6.700079413
    0.850000000    6.532192407    6.535192081    6.695815661
    0.860000000    6.528038282    6.531015478    6.691518490
    0.870000000    6.523852577    6.526807339    6.687188263
    0.880000000    6.519635651    6.522568027    6.682825345
    0.890000000    6.515387859    6.518297902    6.678430097
    0.900000000    6.511109558    6.513997325    6.674002880
    0.910000000    6.506801102    6.509666655    6.669544055
    0.920000000    6.502462847    6.505306250    6.665053983
    0.930000000    6.498095144    6.500916467    6.660533020
    0.940000000    6.493698345    6.496497660    6.655981525
    0.950000000    6.489272800    6.492050184    6.651399854
    0.960000000    6.484818858    6.487574391    6.646788362
    0.970000000    6.480336867    6.483070632    6.642147403
    0.980000000    6.475827173    6.478539256    6.637477329
    0.990000000    6.471290120    6.473980612    6.632778491
    1.000000000    6.466726052    6.469395045    6.628051239
    1.010000000    6.462135310    6.464782900    6.623295921
    1.020000000    6.457518234    6.460144519    6.618512883
    1.030000000    6.452875161    6.455480244    6.613702470
    1.040000000    6.448206429    6.450790412    6.608865026
    1.050000000    6.443512371    6.446075362    6.604000893
    1.060000000    6.438793322    6.441335429    6.599110409
    1.070000000    6.434049610    6.436570945    6.594193914
    1.080000000    6.429281566    6.431782242    6.589251744
    1.090000000    6.424489517    6.426969650    6.584284233
    1.100000000    6.419673788    6.422133495    6.579291713
    1.110000000    6.414834702    6.417274102    6.574274517
    1.120000000    6.409972579    6.412391794    6.569232971
    1.130000000    6.405087740    6.407486893    6.564167405
    1.140000000    6.400180501    6.402559716    6.559078141
    1.150000000    6.395251176    6.397610580    6.553965503
    1.160000000    6.390300079    6.392639799    6.548829811
    1.170000000    6.385327520    6.387647685    6.543671385
    1.180000000    6.380333807    6.382634548    6.538490541
    1.190000000    6.375319247    6.377600695    6.533287593
    1.200000000    6.370284143    6.372546431    6.528062854
    1.210000000    6.365228798    6.367472059    6.522816633
    1.220000000    6.360153510    6.362377879    6.517549239
    1.230000000    6.355058576    6.357264189    6.512260978
    1.240000000    6.349944293    6.352131285    6.506952152
    1.250000000    6.344810951    6.346979460    6.501623064
    1.260000000    6.339658841    6.341809005    6.496274011
    1.270000000    6.334488252    6.336620209    6.490905292
    1.280000000    6.329299468    6.331413357    6.485517201
    1.290000000    6.324092774    6.326188734    6.480110029
    1.300000000    6.318868449    6.320946620    6.474684066
    1.310000000    6.313626772    6.315687295    6.469239601
    1.320000000    6.308368020    6.310411035    6.463776919
    1.330000000    6.303092467    6.305118114    6.458296303
    1.340000000    6.297800383    6.299808803    6.452798032
    1.350000000    6.292492038    6.294483373    6.447282387
    1.360000000    6.287167698    6.289142088    6.441749642
    1.370000000    6.281827628    6.283785215    6.436200072
    1.380000000    6.276472089    6.278413014    6.430633947
    1.390000000    6.271101342    6.273025745    6.425051538
    1.400000000    6.265715643    6.267623665    6.419453110
    1.410000000    6.260315247    6.262207029    6.413838928
    1.420000000    6.254900406    6.256776089    6.408209254
    1.430000000    6.249471371    6.251331095    6.402564348
    1.440000000    6.244028389    6.245872294    6.396904467
    1.450000000    6.238571706    6.240399931    6.391229867
    1.460000000    6.233101564    6.234914249    6.385540799
    1.470000000    6.227618204    6.229415488    6.379837515
    1.480000000    6.222121865    6.223903885    6.374120263
    1.490000000    6.216612781    6.218379677    6.368389288
    1.500000000    6.211091188    6.212843096    6.362644834
    1.510000000    6.205557316    6.207294374    6.356887142
    1.520000000    6.200011395    6.201733738    6.351116451
    1.530000000    6.194453650    6.196161415    6.345332999
    1.540000000    6.188884307    6.190577628    6.339537018
    1.550000000    6.183303588    6.184982600    6.333728742
    1.560000000    6.177711712    6.179376549    6.327908399
    1.570000000    6.172108898    6.173759693    6.322076219
    1.580000000    6.166495359    6.168132245    6.316232426
    1.590000000    6.160871311    6.162494419    6.310377244
    1.600000000    6.155236963    6.156846425    6.304510893
    1.610000000    6.149592525    6.151188470    6.298633593
    1.620000000    6.143938203    6.145520761    6.292745559
    1.630000000    6.138274201    6.139843501    6.286847007
    1.640000000    6.132600722    6.134156891    6.280938149
    1.650000000    6.126917965    6.128461130    6.275019194
    1.660000000    6.121226129    6.122756417    6.269090351
    1.670000000    6.115525409    6.117042945    6.263151826
    1.680000000    6.109816000    6.111320908    6.257203822
    1.690000000    6.104098092    6.105590495    6.251246541
    1.700000000    6.098371875    6.099851897    6.245280182
    1.710000000    6.092637537    6.094105299    6.239304944
    1.720000000    6.086895263    6.088350885    6.233321021
    1.730000000    6.081145237    6.082588840    6.227328607
    1.740000000    6.075387639    6.076819341    6.221327893
