# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.050000000    0.001363817    0.001375717    0.001403944
    0.060000000    0.001637003    0.001651297    0.001685155
    0.070000000    0.001910419    0.001927115    0.001966596
    0.080000000    0.002184105    0.002203212    0.002248306
    0.090000000    0.002458100    0.002479627    0.002530325
    0.100000000    0.002732442    0.002756402    0.002812691
    0.110000000    0.003007171    0.003033576    0.003095443
    0.120000000    0.003282326    0.003311190    0.003378620
    0.130000000    0.003557948    0.003589286    0.003662263
    0.140000000    0.003834075    0.003867906    0.003946412
    0.150000000    0.004110749    0.004147089    0.004231106
    0.160000000    0.004388010    0.004426880    0.004516386
    0.170000000    0.004665898    0.004707319    0.004802292
    0.180000000    0.004944455    0.004988450    0.005088867
    0.190000000    0.005223723    0.005270315    0.005376151
    0.200000000    0.005503744    0.005552959    0.005664185
    0.210000000    0.005784559    0.005836425    0.005953014
    0.220000000    0.006066212    0.006120758    0.006242679
    0.230000000    0.006348747    0.006406002    0.006533223
    0.240000000    0.006632206    0.006692203    0.006824690
    0.250000000    0.006916635    0.006979408    0.007117124
    0.260000000    0.007202078    0.007267662    0.007410571
    0.270000000    0.007488581    0.007557014    0.007705075
    0.280000000    0.007776190    0.007847511    0.008000681
    0.290000000    0.008064952    0.008139201    0.008297438
    0.300000000    0.008354914    0.008432135    0.008595392
    0.310000000    0.008646124    0.008726362    0.008894590
    0.320000000    0.008938631    0.009021933    0.009195082
    0.330000000    0.009232485    0.009318900    0.009496917
    0.340000000    0.009527736    0.009617316    0.009800145
    0.350000000    0.009824436    0.009917234    0.010104816
    0.360000000    0.010122637    0.010218709    0.010410984
    0.370000000    0.010422392    0.010521796    0.010718700
    0.380000000    0.010723755    0.010826552    0.011028018
    0.390000000    0.011026780    0.011133035    0.011338994
    0.400000000    0.011331526    0.011441303    0.011651681
    0.410000000    0.011638047    0.011751417    0.011966139
    0.420000000    0.011946404    0.012063436    0.012282423
    0.430000000    0.012256654    0.012377425    0.012600594
    0.440000000    0.012568860    0.012693447    0.012920711
    0.450000000    0.012883084    0.013011567    0.013242836
    0.460000000    0.013199387    0.013331852    0.013567032
    0.470000000    0.013517836    0.013654370    0.013893362
    0.480000000    0.013838497    0.013979191    0.014221893
    0.490000000    0.014161437    0.014306386    0.014552692
    0.500000000    0.014486726    0.014636028    0.014885826
    0.510000000    0.014814434    0.014968193    0.015221367
    0.520000000    0.015144634    0.015302957    0.015559386
    0.530000000    0.015477401    0.015640399    0.015899955
    0.540000000    0.015812811    0.015980600    0.016243152
    0.550000000    0.016150942    0.016323642    0.016589053
    0.560000000    0.016491874    0.016669612    0.016937737
    0.570000000    0.016835690    0.017018595    0.017289285
    0.580000000    0.017182474    0.017370683    0.017643781
    0.590000000    0.017532312    0.017725967    0.018001310
    0.600000000    0.017885294    0.018084542    0.018361960
    0.610000000    0.018241511    0.018446506    0.018725821
    0.620000000    0.018601057    0.018811959    0.019092986
    0.630000000    0.018964029    0.019181005    0.019463550
    0.640000000    0.019330526    0.019553750    0.019837611
    0.650000000    0.019700651    0.019930304    0.020215270
    0.660000000    0.020074509    0.020310781    0.020596630
    0.670000000    0.020452209    0.020695296    0.020981799
    0.680000000    0.020833862    0.021083970    0.021370886
    0.690000000    0.021219585    0.021476927    0.021764005
    0.700000000    0.021609494    0.021874295    0.022161273
    0.710000000    0.022003714    0.022276207    0.022562809
    0.720000000    0.022402371    0.022682800    0.022968740
    0.730000000    0.022805594    0.023094215    0.023379191
    0.740000000    0.023213520    0.023510597    0.023794297
    0.750000000    0.023626288    0.023932099    0.024214194
    0.760000000    0.024044040    0.024358877    0.024639023
    0.770000000    0.024466927    0.024791092    0.025068930
    0.780000000    0.024895102    0.025228914    0.025504066
    0.790000000    0.025328725    0.025672515    0.025944588
    0.800000000    0.025767960    0.026122076    0.026390657
    0.810000000    0.026212978    0.026577785    0.026842440
    0.820000000    0.026663956    0.027039836    0.027300112
    0.830000000    0.027121078    0.027508429    0.027763851
    0.840000000    0.027584533    0.027983775    0.028233844
    0.850000000    0.028054519    0.028466091    0.028710285
    0.860000000    0.028531241    0.028955604    0.029193373
    0.870000000    0.029014910    0.029452548    0.029683316
    0.880000000    0.029505749    0.029957168    0.030180332
    0.890000000    0.030003986    0.030469720    0.030684643
    0.900000000    0.030509859    0.030990468    0.031196484
    0.910000000    0.031023618    0.031519691    0.031716097
    0.920000000    0.031545519    0.032057675    0.032243735
    0.930000000    0.032075833    0.032604723    0.032779659
    0.940000000    0.032614838    0.033161148    0.033324146
    0.950000000    0.033162826    0.033727279    0.033877478
    0.960000000    0.033720103    0.034303459    0.034439954
    0.970000000    0.034286984    0.034890047    0.035011883
    0.980000000    0.034863802    0.035487417    0.035593590
    0.990000000    0.035450902    0.036095963    0.036185411
    1.000000000    0.036048646    0.036716096    0.036787701
    1.010000000    0.036657412    0.037348246    0.037400828
    1.020000000    0.037277595    0.037992867    0.038025177
    1.030000000    0.037909608    0.038650432    0.038661154
    1.040000000    0.038553885    0.039321441    0.039309179
    1.050000000    0.039210881    0.040006416    0.039969698
    1.060000000    0.039881070    0.040705908    0.040643173
    1.070000000    0.040564952    0.041420496    0.041330092
    1.080000000    0.041263051    0.042150790    0.042030966
    1.090000000    0.041975919    0.042897432    0.042746334
    1.100000000    0.042704134    0.043661101    0.043476758
    1.110000000    0.043448305    0.044442511    0.044222833
    1.120000000    0.044209073    0.045242417    0.044985184
    1.130000000    0.044987113    0.046061618    0.045764470
    1.140000000    0.045783136    0.046900958    0.046561383
    1.150000000    0.046597895    0.047761330    0.047376656
    1.160000000    0.047432181    0.048643682    0.048211061
    1.170000000    0.048286832    0.049549019    0.049065415
    1.180000000    0.049162734    0.050478406    0.049940580
    1.190000000    0.050060823    0.051432976    0.050837470
    1.200000000    0.050982092    0.052413934    0.051757051
    1.210000000    0.051927595    0.053422563    0.052700350
    1.220000000    0.052898447    0.054460230    0.053668453
    1.230000000    0.053895835    0.055528392    0.054662516
    1.240000000    0.054921019    0.056628607    0.055683767
    1.250000000    0.055975340    0.057762540    0.056733511
    1.260000000    0.057060229    0.058931971    0.057813140
    1.270000000    0.058177208    0.060138810    0.058924137
    1.280000000    0.059327905    0.061385107    0.060068086
    1.290000000    0.060514058    0.062673060    0.061246679
    1.300000000    0.061737526    0.064005038    0.062461724
    1.310000000    0.063000302    0.065383589    0.063715159
    1.320000000    0.064304522    0.066811463    0.065009063
    1.330000000    0.065652481    0.068291631    0.066345665
    1.340000000    0.067046644    0.069827305    0.067727364
    1.350000000    0.068489669    0.071421965    0.069156739
    1.360000000    0.069984418    0.073079390    0.070636574
    1.370000000    0.071533985    0.074803683    0.072169871
    1.380000000    0.073141713    0.076599316    0.073759874
    1.390000000    0.074811226    0.078471163    0.075410099
    1.400000000    0.076546452    0.080424551    0.077124356
    1.410000000    0.078351664    0.082465315    0.078906782
    1.420000000    0.080231512    0.084599853    0.080761881
    1.430000000    0.082191068    0.086835198    0.082694559
    1.440000000    0.084235876    0.089179103    0.084710176
    1.450000000    0.086372006    0.091640122    0.086814594
    1.460000000    0.088606120    0.094227729    0.089014239
    1.470000000    0.090945546    0.096952432    0.091316170
    1.480000000    0.093398360    0.099825921    0.093728158
    1.490000000    0.095973487    0.102861233    0.096258778
    1.500000000    0.098680815    0.106072953    0.098917511
    1.510000000    0.101531327    0.109477440    0.101714871
    1.520000000    0.104537255    0.113093101    0.104662543
    1.530000000    0.107712267    0.116940717    0.107773551
    1.540000000    0.111071679    0.121043827    0.111062452
    1.550000000    0.114632706    0.125429187    0.114545564
    1.560000000    0.118414775    0.130127329    0.118241235
    1.570000000    0.122439877    0.135173224    0.122170166
    1.580000000    0.126733007    0.140607099    0.126355789
    1.590000000    0.131322689    0.146475430    0.130824727
    1.600000000    0.136241614    0.152832157    0.135607341
    1.610000000    0.141527419    0.159740191    0.140738394
    1.620000000    0.147223642    0.167273284    0.146257857
    1.630000000    0.153380911    0.175518367    0.152211898
    1.640000000    0.160058417    0.184578500    0.158654091
    1.650000000    0.167325763    0.194576608    0.165646913
    1.660000000    0.175265302    0.205660259    0.173263616
    1.670000000    0.183975114    0.218007818    0.181590562
    1.680000000    0.193572822    0.231836437    0.190730171
    1.690000000    0.204200537    0.247412513    0.200804679
    1.700000000    0.216031308    0.265065488    0.211960946
    1.710000000    0.229277614    0.285206225    0.224376659
    1.720000000    0.244202641    0.308351658    0.238268422
    1.730000000    0.261135369    0.335158114    0.253902370
    1.740000000    0.280490918    0.366466643    0.271608222
    1.750000000    0.302798127    0.403364940    0.291798056
    1.760000000    0.328737018    0.447271942    0.314991561
    1.770000000    0.359189565    0.500052658    0.341850273
    1.780000000    0.395307559    0.564171020    0.373224219
    1.790000000    0.438600409    0.642884335    0.410215632
    1.800000000    0.491040406    0.740465524    0.454265714
    1.810000000    0.555165998    0.862387531    0.507271342
    1.820000000    0.634118467    1.015270021    0.571737232
    1.830000000    0.731442000    1.206080874    0.650960608
    1.840000000    0.850274069    1.439504372    0.749217505
    1.850000000    0.991311781    1.711742633    0.871843137
    1.860000000    1.149180303    1.999929506    1.024912252
    1.870000000    1.308913524    2.252991166    1.213832785
    1.880000000    1.448155240    2.402109728    1.439554405
    1.890000000    1.548379974    2.402193247    1.690922768
    1.900000000    1.603563277    2.268125393    1.934651148
    1.910000000    1.614025690    2.057601334    2.113968248
    1.920000000    1.580212767    1.826537788    2.173748390
    1.930000000    1.510824248    1.609442201    2.103212149
    1.940000000    1.428154696    1.424041636    1.946820978
    1.950000000    1.358068334    1.277993484    1.768224880
    1.960000000    1.318955646    1.172489550    1.614244540
    1.970000000    1.320229141    1.105292907    1.507356753
    1.980000000    1.365942167    1.073248766    1.454042558
    1.990000000    1.457568526    1.073523238    1.452971235
    2.000000000    1.593773479    1.103490643    1.497849977
    2.010000000    1.767264879    1.159574373    1.575538214
    2.020000000    1.961460652    1.236056459    1.663270846
    2.030000000    2.154026493    1.326237918    1.733159194
    2.040000000    2.331141785    1.427232048    1.769038893
    2.050000000    2.497186504    1.543248277    1.781446258
    2.060000000    2.660123130    1.680673981    1.800878241
