# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.050000000    0.001375043    0.001375648    0.001404011
    0.060000000    0.001650487    0.001651215    0.001685236
    0.070000000    0.001926170    0.001927020    0.001966692
    0.080000000    0.002202131    0.002203105    0.002248417
    0.090000000    0.002478410    0.002479508    0.002530451
    0.100000000    0.002755048    0.002756271    0.002812833
    0.110000000    0.003032085    0.003033434    0.003095602
    0.120000000    0.003309563    0.003311038    0.003378798
    0.130000000    0.003587522    0.003589125    0.003662459
    0.140000000    0.003866003    0.003867735    0.003946627
    0.150000000    0.004145048    0.004146911    0.004231341
    0.160000000    0.004424700    0.004426694    0.004516642
    0.170000000    0.004705000    0.004707127    0.004802572
    0.180000000    0.004985990    0.004988253    0.005089170
    0.190000000    0.005267715    0.005270115    0.005376479
    0.200000000    0.005550218    0.005552756    0.005664540
    0.210000000    0.005833542    0.005836221    0.005953397
    0.220000000    0.006117732    0.006120553    0.006243091
    0.230000000    0.006402833    0.006405799    0.006533666
    0.240000000    0.006688890    0.006692004    0.006825167
    0.250000000    0.006975949    0.006979213    0.007117636
    0.260000000    0.007264058    0.007267474    0.007411119
    0.270000000    0.007553262    0.007556834    0.007705662
    0.280000000    0.007843611    0.007847341    0.008001311
    0.290000000    0.008135153    0.008139044    0.008298111
    0.300000000    0.008427937    0.008431992    0.008596111
    0.310000000    0.008722013    0.008726236    0.008895359
    0.320000000    0.009017432    0.009021826    0.009195902
    0.330000000    0.009314246    0.009318816    0.009497792
    0.340000000    0.009612508    0.009617257    0.009801077
    0.350000000    0.009912271    0.009917202    0.010105810
    0.360000000    0.010213589    0.010218708    0.010412041
    0.370000000    0.010516519    0.010521830    0.010719825
    0.380000000    0.010821116    0.010826623    0.011029215
    0.390000000    0.011127438    0.011133147    0.011340266
    0.400000000    0.011435544    0.011441460    0.011653034
    0.410000000    0.011745494    0.011751623    0.011967575
    0.420000000    0.012057349    0.012063696    0.012283949
    0.430000000    0.012371172    0.012377743    0.012602213
    0.440000000    0.012687026    0.012693827    0.012922429
    0.450000000    0.013004977    0.013012014    0.013244658
    0.460000000    0.013325091    0.013332372    0.013568963
    0.470000000    0.013647437    0.013654968    0.013895409
    0.480000000    0.013972083    0.013979873    0.014224062
    0.490000000    0.014299103    0.014307158    0.014554989
    0.500000000    0.014628568    0.014636897    0.014888258
    0.510000000    0.014960554    0.014969166    0.015223941
    0.520000000    0.015295137    0.015304041    0.015562110
    0.530000000    0.015632397    0.015641602    0.015902837
    0.540000000    0.015972413    0.015981930    0.016246200
    0.550000000    0.016315270    0.016325108    0.016592276
    0.560000000    0.016661052    0.016671222    0.016941144
    0.570000000    0.017009846    0.017020359    0.017292887
    0.580000000    0.017361742    0.017372611    0.017647587
    0.590000000    0.017716833    0.017728071    0.018005331
    0.600000000    0.018075214    0.018086832    0.018366208
    0.610000000    0.018436981    0.018448995    0.018730307
    0.620000000    0.018802236    0.018814660    0.019097723
    0.630000000    0.019171082    0.019183931    0.019468552
    0.640000000    0.019543626    0.019556915    0.019842892
    0.650000000    0.019919977    0.019933724    0.020220844
    0.660000000    0.020300249    0.020314471    0.020602514
    0.670000000    0.020684558    0.020699274    0.020988009
    0.680000000    0.021073025    0.021088254    0.021377440
    0.690000000    0.021465773    0.021481536    0.021770920
    0.700000000    0.021862932    0.021879251    0.022168570
    0.710000000    0.022264633    0.022281530    0.022570508
    0.720000000    0.022671014    0.022688514    0.022976862
    0.730000000    0.023082215    0.023100343    0.023387761
    0.740000000    0.023498385    0.023517167    0.023803339
    0.750000000    0.023919673    0.023939138    0.024223733
    0.760000000    0.024346237    0.024366415    0.024649087
    0.770000000    0.024778239    0.024799161    0.025079548
    0.780000000    0.025215848    0.025237546    0.025515269
    0.790000000    0.025659237    0.025681747    0.025956409
    0.800000000    0.026108587    0.026131947    0.026403130
    0.810000000    0.026564086    0.026588335    0.026855603
    0.820000000    0.027025929    0.027051108    0.027314003
    0.830000000    0.027494317    0.027520471    0.027778512
    0.840000000    0.027969461    0.027996636    0.028249320
    0.850000000    0.028451579    0.028479824    0.028726622
    0.860000000    0.028940897    0.028970266    0.029210621
    0.870000000    0.029437653    0.029468200    0.029701529
    0.880000000    0.029942090    0.029973875    0.030199566
    0.890000000    0.030454466    0.030487552    0.030704959
    0.900000000    0.030975047    0.031009502    0.031217946
    0.910000000    0.031504111    0.031540005    0.031738775
    0.920000000    0.032041948    0.032079357    0.032267701
    0.930000000    0.032588860    0.032627865    0.032804993
    0.940000000    0.033145164    0.033185850    0.033350930
    0.950000000    0.033711188    0.033753649    0.033905803
    0.960000000    0.034287279    0.034331613    0.034469916
    0.970000000    0.034873797    0.034920108    0.035043585
    0.980000000    0.035471120    0.035519521    0.035627142
    0.990000000    0.036079643    0.036130254    0.036220931
    1.000000000    0.036699780    0.036752730    0.036825316
    1.010000000    0.037331967    0.037387393    0.037440673
    1.020000000    0.037976658    0.038034709    0.038067399
    1.030000000    0.038634334    0.038695167    0.038705909
    1.040000000    0.039305495    0.039369282    0.039356638
    1.050000000    0.039990672    0.040057596    0.040020041
    1.060000000    0.040690419    0.040760678    0.040696597
    1.070000000    0.041405323    0.041479130    0.041386808
    1.080000000    0.042136001    0.042213584    0.042091203
    1.090000000    0.042883102    0.042964710    0.042810336
    1.100000000    0.043647313    0.043733212    0.043544794
    1.110000000    0.044429360    0.044519839    0.044295189
    1.120000000    0.045230007    0.045325380    0.045062173
    1.130000000    0.046050065    0.046150670    0.045846429
    1.140000000    0.046890392    0.046996597    0.046648679
    1.150000000    0.047751897    0.047864102    0.047469687
    1.160000000    0.048635545    0.048754182    0.048310259
    1.170000000    0.049542358    0.049667900    0.049171250
    1.180000000    0.050473424    0.050606387    0.050053565
    1.190000000    0.051429901    0.051570844    0.050958162
    1.200000000    0.052413020    0.052562557    0.051886060
    1.210000000    0.053424095    0.053582896    0.052838340
    1.220000000    0.054464527    0.054633326    0.053816152
    1.230000000    0.055535812    0.055715414    0.054820719
    1.240000000    0.056639553    0.056830840    0.055853346
    1.250000000    0.057777464    0.057981407    0.056915424
    1.260000000    0.058951383    0.059169052    0.058008439
    1.270000000    0.060163284    0.060395858    0.059133978
    1.280000000    0.061415288    0.061664069    0.060293744
    1.290000000    0.062709680    0.062976109    0.061489558
    1.300000000    0.064048921    0.064334594    0.062723377
    1.310000000    0.065435671    0.065742359    0.063997303
    1.320000000    0.066872803    0.067202475    0.065313600
    1.330000000    0.068363430    0.068718281    0.066674705
    1.340000000    0.069910931    0.070293407    0.068083250
    1.350000000    0.071518975    0.071931814    0.069542083
    1.360000000    0.073191558    0.073637826    0.071054283
    1.370000000    0.074933038    0.075416177    0.072623195
    1.380000000    0.076748180    0.077272062    0.074252448
    1.390000000    0.078642197    0.079211191    0.075945998
    1.400000000    0.080620817    0.081239857    0.077708156
    1.410000000    0.082690335    0.083365013    0.079543634
    1.420000000    0.084857693    0.085594360    0.081457594
    1.430000000    0.087130563    0.087936451    0.083455700
    1.440000000    0.089517446    0.090400814    0.085544182
    1.450000000    0.092027787    0.092998090    0.087729911
    1.460000000    0.094672106    0.095740206    0.090020481
    1.470000000    0.097462163    0.098640572    0.092424310
    1.480000000    0.100411135    0.101714315    0.094950752
    1.490000000    0.103533845    0.104978566    0.097610236
    1.500000000    0.106847019    0.108452799    0.100414419
    1.510000000    0.110369601    0.112159241    0.103376378
    1.520000000    0.114123130    0.116123369    0.106510828
    1.530000000    0.118132197    0.120374521    0.109834393
    1.540000000    0.122424998    0.124946643    0.113365919
    1.550000000    0.127034009    0.129879215    0.117126858
    1.560000000    0.131996822    0.135218396    0.121141736
    1.570000000    0.137357170    0.141018471    0.125438718
    1.580000000    0.143166215    0.147343668    0.130050302
    1.590000000    0.149484159    0.154270467    0.135014182
    1.600000000    0.156382280    0.161890567    0.140374311
    1.610000000    0.163945530    0.170314709    0.146182242
    1.620000000    0.172275871    0.179677667    0.152498816
    1.630000000    0.181496602    0.190144788    0.159396310
    1.640000000    0.191758005    0.201920679    0.166961189
    1.650000000    0.203244791    0.215260786    0.175297671
    1.660000000    0.216185998    0.230487011    0.184532371
    1.670000000    0.230868243    0.248008858    0.194820421
    1.680000000    0.247653593    0.268352248    0.206353582
    1.690000000    0.267003752    0.292198813    0.219371100
    1.700000000    0.289512831    0.320439227    0.234174319
    1.710000000    0.315951391    0.354244397    0.251146427
    1.720000000    0.347324427    0.395156871    0.270779126
    1.730000000    0.384943974    0.445197914    0.293708342
    1.740000000    0.430509753    0.506964652    0.320760889
    1.750000000    0.486170632    0.583636089    0.353012011
    1.760000000    0.554489187    0.678677389    0.391846917
    1.770000000    0.638127262    0.794780202    0.439000240
    1.780000000    0.738916747    0.931266314    0.496500427
    1.790000000    0.855960002    1.079439614    0.566347188
    1.800000000    0.983108521    1.217974156    0.649597246
    1.810000000    1.107949198    1.315883292    0.744498092
    1.820000000    1.214818713    1.349350004    0.844071414
    1.830000000    1.290541921    1.319468234    0.935970856
    1.840000000    1.330459985    1.249514713    1.009015057
    1.850000000    1.344160126    1.168210970    1.063839619
    1.860000000    1.353814072    1.098225277    1.115037457
    1.870000000    1.381915968    1.052729523    1.180947819
    1.880000000    1.438926958    1.035711513    1.272344227
    1.890000000    1.517119323    1.043286592    1.386777510
    1.900000000    1.590115181    1.065154227    1.507926374
    1.910000000    1.623184743    1.088440018    1.612435759
    1.920000000    1.596715442    1.105169270    1.684103173
    1.930000000    1.522343047    1.116858998    1.719950765
    1.940000000    1.431261910    1.130205231    1.718571507
    1.950000000    1.351799415    1.151068434    1.672249350
    1.960000000    1.300618575    1.184915303    1.579847906
    1.970000000    1.285880266    1.239360613    1.459296448
    1.980000000    1.311277303    1.322174964    1.338567165
    1.990000000    1.376996117    1.436064793    1.239493569
    2.000000000    1.478198205    1.573795523    1.172224681
    2.010000000    1.602470557    1.716523076    1.138182175
    2.020000000    1.729944152    1.840992960    1.134200372
    2.030000000    1.840893139    1.936232491    1.155810314
    2.040000000    1.928850573    2.013824130    1.200487232
    2.050000000    2.005883320    2.097506515    1.269723204
