# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.050000000    6.736876809    6.736903257    6.902762928
    0.060000000    6.736351072    6.736377472    6.902226178
    0.070000000    6.735757377    6.735783722    6.901620031
    0.080000000    6.735099874    6.735126158    6.900948719
    0.090000000    6.734381423    6.734407642    6.900215156
    0.100000000    6.733604011    6.733630159    6.899421366
    0.110000000    6.732769044    6.732795115    6.898568776
    0.120000000    6.731877539    6.731903530    6.897658421
    0.130000000    6.730930261    6.730956166    6.896691073
    0.140000000    6.729927800    6.729953615    6.895667329
    0.150000000    6.728870629    6.728896350    6.894587664
    0.160000000    6.727759145    6.727784766    6.893452475
    0.170000000    6.726593688    6.726619206    6.892262101
    0.180000000    6.725374561    6.725399971    6.891016845
    0.190000000    6.724102043    6.724127341    6.889716981
    0.200000000    6.722776394    6.722801577    6.888362768
    0.210000000    6.721397865    6.721422928    6.886954450
    0.220000000    6.719966699    6.719991639    6.885492268
    0.230000000    6.718483136    6.718507948    6.883976456
    0.240000000    6.716947412    6.716972093    6.882407246
    0.250000000    6.715359765    6.715384312    6.880784871
    0.260000000    6.713720436    6.713744844    6.879109563
    0.270000000    6.712029664    6.712053931    6.877381560
    0.280000000    6.710287693    6.710311816    6.875601098
    0.290000000    6.708494772    6.708518747    6.873768420
    0.300000000    6.706651151    6.706674976    6.871883769
    0.310000000    6.704757085    6.704780756    6.869947396
    0.320000000    6.702812834    6.702836349    6.867959553
    0.330000000    6.700818660    6.700842016    6.865920496
    0.340000000    6.698774832    6.698798026    6.863830487
    0.350000000    6.696681622    6.696704652    6.861689792
    0.360000000    6.694539305    6.694562169    6.859498680
    0.370000000    6.692348164    6.692370859    6.857257426
    0.380000000    6.690108482    6.690131006    6.854966309
    0.390000000    6.687820550    6.687842901    6.852625609
    0.400000000    6.685484660    6.685506836    6.850235616
    0.410000000    6.683101111    6.683123110    6.847796619
    0.420000000    6.680670203    6.680692024    6.845308913
    0.430000000    6.678192242    6.678213883    6.842772797
    0.440000000    6.675667538    6.675688997    6.840188575
    0.450000000    6.673096403    6.673117679    6.837556551
    0.460000000    6.670479154    6.670500246    6.834877037
    0.470000000    6.667816110    6.667837017    6.832150346
    0.480000000    6.665107595    6.665128315    6.829376794
    0.490000000    6.662353936    6.662374468    6.826556702
    0.500000000    6.659555461    6.659575805    6.823690393
    0.510000000    6.656712504    6.656732659    6.820778194
    0.520000000    6.653825399    6.653845364    6.817820434
    0.530000000    6.650894486    6.650914260    6.814817446
